data_rate,rep,service_type,slo_set,p_fitness,dist,cores,data_quality,model_size
0.1,1,elastic-workbench-qr-detector,DEFAULT,0.3971566069888791,"(np.float64(1335.1678160704046), np.float64(130.25849282380995))",5.544709498549039,203.80966871321192,-1.0
0.1,1,elastic-workbench-cv-analyzer,DEFAULT,0.4239016431927191,"(np.float64(24.025439845083753), np.float64(2.415246770148811))",7.920982128345845,173.80156834701828,1.0046952890137315
0.1,1,elastic-workbench-pc-visualizer,DEFAULT,0.7471787185727558,"(np.float64(185.56770787760064), np.float64(35.15302969020961))",1.0000000000000004,51.00965649790459,-1.0
0.1,2,elastic-workbench-qr-detector,DEFAULT,0.3971566069888791,"(np.float64(1335.1678160704046), np.float64(130.25849282380995))",5.544709498549039,203.80966871321192,-1.0
0.1,2,elastic-workbench-cv-analyzer,DEFAULT,0.4239016431927191,"(np.float64(24.025439845083753), np.float64(2.415246770148811))",7.920982128345845,173.80156834701828,1.0046952890137315
0.1,2,elastic-workbench-pc-visualizer,DEFAULT,0.7471787185727558,"(np.float64(185.56770787760064), np.float64(35.15302969020961))",1.0000000000000004,51.00965649790459,-1.0
0.1,3,elastic-workbench-qr-detector,DEFAULT,0.3971566069888791,"(np.float64(1335.1678160704046), np.float64(130.25849282380995))",5.544709498549039,203.80966871321192,-1.0
0.1,3,elastic-workbench-cv-analyzer,DEFAULT,0.4239016431927191,"(np.float64(24.025439845083753), np.float64(2.415246770148811))",7.920982128345845,173.80156834701828,1.0046952890137315
0.1,3,elastic-workbench-pc-visualizer,DEFAULT,0.7471787185727558,"(np.float64(185.56770787760064), np.float64(35.15302969020961))",1.0000000000000004,51.00965649790459,-1.0
0.1,4,elastic-workbench-qr-detector,DEFAULT,0.3971566069888791,"(np.float64(1335.1678160704046), np.float64(130.25849282380995))",5.544709498549039,203.80966871321192,-1.0
0.1,4,elastic-workbench-cv-analyzer,DEFAULT,0.4239016431927191,"(np.float64(24.025439845083753), np.float64(2.415246770148811))",7.920982128345845,173.80156834701828,1.0046952890137315
0.1,4,elastic-workbench-pc-visualizer,DEFAULT,0.7471787185727558,"(np.float64(185.56770787760064), np.float64(35.15302969020961))",1.0000000000000004,51.00965649790459,-1.0
0.1,5,elastic-workbench-qr-detector,DEFAULT,0.3971566069888791,"(np.float64(1335.1678160704046), np.float64(130.25849282380995))",5.544709498549039,203.80966871321192,-1.0
0.1,5,elastic-workbench-cv-analyzer,DEFAULT,0.4239016431927191,"(np.float64(24.025439845083753), np.float64(2.415246770148811))",7.920982128345845,173.80156834701828,1.0046952890137315
0.1,5,elastic-workbench-pc-visualizer,DEFAULT,0.7471787185727558,"(np.float64(185.56770787760064), np.float64(35.15302969020961))",1.0000000000000004,51.00965649790459,-1.0
0.1,6,elastic-workbench-qr-detector,DEFAULT,0.3971566069888791,"(np.float64(1335.1678160704046), np.float64(130.25849282380995))",5.544709498549039,203.80966871321192,-1.0
0.1,6,elastic-workbench-cv-analyzer,DEFAULT,0.4239016431927191,"(np.float64(24.025439845083753), np.float64(2.415246770148811))",7.920982128345845,173.80156834701828,1.0046952890137315
0.1,6,elastic-workbench-pc-visualizer,DEFAULT,0.7471787185727558,"(np.float64(185.56770787760064), np.float64(35.15302969020961))",1.0000000000000004,51.00965649790459,-1.0
0.1,7,elastic-workbench-qr-detector,DEFAULT,0.3971566069888791,"(np.float64(1335.1678160704046), np.float64(130.25849282380995))",5.544709498549039,203.80966871321192,-1.0
0.1,7,elastic-workbench-cv-analyzer,DEFAULT,0.4239016431927191,"(np.float64(24.025439845083753), np.float64(2.415246770148811))",7.920982128345845,173.80156834701828,1.0046952890137315
0.1,7,elastic-workbench-pc-visualizer,DEFAULT,0.7471787185727558,"(np.float64(185.56770787760064), np.float64(35.15302969020961))",1.0000000000000004,51.00965649790459,-1.0
