data_rate,rep,p_fitness,cores,data_quality,model_size
1,1,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,2,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,3,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,4,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,5,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,6,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,7,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,8,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,9,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,10,0.7796718613104449,6.103210857752542,187.33011051524846,-1
1,1,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,2,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,3,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,4,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,5,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,6,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,7,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,8,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,9,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,10,0.7284379164515534,6.792624369732437,204.70263017487434,-1
1,1,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,2,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,3,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,4,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,5,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,6,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,7,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,8,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,9,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,10,0.6530569768889974,4.851222935423075,151.4520046869303,-1
1,1,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,2,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,3,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,4,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,5,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,6,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,7,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,8,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,9,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,10,0.5914746595835029,6.79563581265249,302.72330241313773,-1
1,1,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,2,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,3,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,4,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,5,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,6,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,7,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,8,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,9,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,10,0.5370517010850678,5.582853962778652,319.94394239970563,-1
1,1,0.5088430130166635,8.0,224.4935161842775,-1
1,2,0.5088430130166635,8.0,224.4935161842775,-1
1,3,0.5088430130166635,8.0,224.4935161842775,-1
1,4,0.5088430130166635,8.0,224.4935161842775,-1
1,5,0.5088430130166635,8.0,224.4935161842775,-1
1,6,0.5088430130166635,8.0,224.4935161842775,-1
1,7,0.5088430130166635,8.0,224.4935161842775,-1
1,8,0.5088430130166635,8.0,224.4935161842775,-1
1,9,0.5088430130166635,8.0,224.4935161842775,-1
1,10,0.5088430130166635,8.0,224.4935161842775,-1
