timestamp,fps,pixel,cores,energy,change_flag
2024-12-03 22:39:29.770898,30,1500,4,0,False
2024-12-03 22:39:30.116957,25,1500,4,0,False
2024-12-03 22:39:30.397475,28,1500,4,0,False
2024-12-03 22:39:30.729295,30,1500,4,0,False
2024-12-03 22:39:31.001710,32,1500,4,0,False
2024-12-03 22:39:31.319259,32,1500,4,0,False
2024-12-03 22:39:31.646021,30,1500,4,0,False
2024-12-03 22:39:31.960073,30,1500,4,0,False
2024-12-03 22:39:32.233962,31,1500,4,0,False
2024-12-03 22:39:32.549776,30,1500,4,0,False
2024-12-03 22:39:32.870277,30,1500,4,0,False
2024-12-03 22:39:33.160110,31,1500,4,0,False
2024-12-03 22:39:33.466800,31,1500,4,0,False
2024-12-03 22:39:33.823788,26,1500,4,0,False
2024-12-03 22:39:34.355250,24,1500,4,0,False
2024-12-03 22:39:34.935196,16,1500,4,0,False
2024-12-03 22:39:42.218756,16,1500,4,0,False
2024-12-03 22:39:42.752194,16,1500,4,0,False
2024-12-03 22:39:43.391448,16,1500,4,0,False
2024-12-03 22:39:43.994139,16,1500,4,0,False
2024-12-03 22:39:44.479662,16,1500,4,0,False
2024-12-03 22:39:45.094273,16,1500,4,0,False
2024-12-03 22:39:45.638565,16,1500,4,0,False
2024-12-03 22:39:46.206906,16,1500,4,0,False
2024-12-03 22:39:46.727300,16,1500,4,0,False
2024-12-03 22:39:47.259787,16,1500,4,0,False
2024-12-03 22:39:47.780299,16,1500,4,0,False
2024-12-03 22:39:48.344959,16,1500,4,0,False
2024-12-03 22:39:48.907018,16,1500,4,0,False
2024-12-03 22:39:49.476994,16,1500,4,0,False
2024-12-03 22:39:50.120009,16,1500,4,0,False
2024-12-03 22:39:50.791085,16,1500,4,0,False
2024-12-03 22:39:51.365879,16,1500,4,0,False
2024-12-03 22:39:51.977959,16,1500,4,0,False
2024-12-03 22:39:52.613011,16,1500,4,0,False
2024-12-03 22:39:53.226784,16,1500,4,0,False
2024-12-03 22:39:53.778361,16,1500,4,0,False
2024-12-03 22:39:54.334176,16,1500,4,0,False
2024-12-03 22:39:55.091167,16,1500,4,0,False
2024-12-03 22:39:55.932822,15,1500,4,0,False
2024-12-03 22:39:56.633222,16,1500,4,0,False
2024-12-03 22:39:57.292875,16,1500,4,0,False
2024-12-03 22:39:58.023558,16,1500,4,0,False
2024-12-03 22:39:58.729273,15,1500,4,0,False
2024-12-03 22:39:59.347141,16,1500,4,0,False
2024-12-03 22:39:59.962141,16,1500,4,0,False
2024-12-03 22:40:01.542119,24,1400,7,0,False
2024-12-03 22:40:01.841843,24,1400,7,0,False
2024-12-03 22:40:02.126470,26,1400,7,0,False
2024-12-03 22:40:02.448314,32,1400,7,0,False
2024-12-03 22:40:02.751274,31,1400,7,0,False
2024-12-03 22:40:03.078170,28,1400,7,0,False
2024-12-03 22:40:03.387447,30,1400,7,0,False
2024-12-03 22:40:03.716696,27,1400,7,0,False
2024-12-03 22:40:04.059276,26,1400,7,0,False
2024-12-03 22:40:04.418958,24,1400,7,0,False
2024-12-03 22:40:04.720325,24,1400,7,0,False
2024-12-03 22:40:04.998202,32,1400,7,0,False
2024-12-03 22:40:05.296175,31,1400,7,0,False
2024-12-03 22:40:05.587593,32,1400,7,0,False
2024-12-03 22:40:05.872736,32,1400,7,0,False
2024-12-03 22:40:06.851854,29,1400,6,0,False
2024-12-03 22:40:07.084738,31,1400,6,0,False
2024-12-03 22:40:07.344749,32,1400,6,0,False
2024-12-03 22:40:07.698706,31,1400,6,0,False
2024-12-03 22:40:08.017872,32,1400,6,0,False
2024-12-03 22:40:08.325278,26,1400,6,0,False
2024-12-03 22:40:08.629678,30,1400,6,0,False
2024-12-03 22:40:08.953097,31,1400,6,0,False
2024-12-03 22:40:09.220616,32,1400,6,0,False
2024-12-03 22:40:09.478273,32,1400,6,0,False
2024-12-03 22:40:09.802873,32,1400,6,0,False
2024-12-03 22:40:10.281589,24,1400,6,0,False
2024-12-03 22:40:10.659947,23,1400,6,0,False
2024-12-03 22:40:10.935770,24,1400,6,0,False
2024-12-03 22:40:11.228041,29,1400,6,0,False
2024-12-03 22:40:09.031749,15,1500,3,0,False
2024-12-03 22:40:09.708946,16,1500,3,0,False
2024-12-03 22:40:10.635507,12,1500,3,0,False
2024-12-03 22:40:11.377367,16,1500,3,0,False
2024-12-03 22:40:12.066397,16,1500,3,0,False
2024-12-03 22:40:12.741892,16,1500,3,0,False
2024-12-03 22:40:13.368632,16,1500,3,0,False
2024-12-03 22:40:14.051785,16,1500,3,0,False
2024-12-03 22:40:14.744176,16,1500,3,0,False
2024-12-03 22:40:15.377363,16,1500,3,0,False
2024-12-03 22:40:16.138053,16,1500,3,0,False
2024-12-03 22:40:17.259466,8,1500,3,0,False
2024-12-03 22:40:18.246418,9,1500,3,0,False
