rps_absolute,rps_normalized
189,0.4883720930232558
188,0.48578811369509045
187,0.48320413436692505
186,0.4806201550387597
185,0.4780361757105943
184,0.4754521963824289
183,0.4728682170542636
184,0.4754521963824289
183,0.4728682170542636
182,0.4702842377260982
181,0.46770025839793283
182,0.4702842377260982
181,0.46770025839793283
180,0.46511627906976744
181,0.46770025839793283
180,0.46511627906976744
181,0.46770025839793283
180,0.46511627906976744
181,0.46770025839793283
182,0.4702842377260982
183,0.4728682170542636
184,0.4754521963824289
183,0.4728682170542636
182,0.4702842377260982
181,0.46770025839793283
180,0.46511627906976744
179,0.4625322997416021
180,0.46511627906976744
179,0.4625322997416021
178,0.4599483204134367
179,0.4625322997416021
180,0.46511627906976744
180,0.46511627906976744
181,0.46770025839793283
182,0.4702842377260982
183,0.4728682170542636
184,0.4754521963824289
183,0.4728682170542636
182,0.4702842377260982
181,0.46770025839793283
182,0.4702842377260982
183,0.4728682170542636
183,0.4728682170542636
182,0.4702842377260982
181,0.46770025839793283
182,0.4702842377260982
181,0.46770025839793283
180,0.46511627906976744
179,0.4625322997416021
178,0.4599483204134367
179,0.4625322997416021
180,0.46511627906976744
179,0.4625322997416021
179,0.4625322997416021
180,0.46511627906976744
179,0.4625322997416021
180,0.46511627906976744
181,0.46770025839793283
182,0.4702842377260982
183,0.4728682170542636
184,0.4754521963824289
183,0.4728682170542636
184,0.4754521963824289
185,0.4780361757105943
184,0.4754521963824289
183,0.4728682170542636
184,0.4754521963824289
183,0.4728682170542636
182,0.4702842377260982
183,0.4728682170542636
184,0.4754521963824289
183,0.4728682170542636
182,0.4702842377260982
181,0.46770025839793283
182,0.4702842377260982
183,0.4728682170542636
184,0.4754521963824289
185,0.4780361757105943
186,0.4806201550387597
187,0.48320413436692505
188,0.48578811369509045
189,0.4883720930232558
188,0.48578811369509045
189,0.4883720930232558
188,0.48578811369509045
189,0.4883720930232558
190,0.4909560723514212
191,0.4935400516795866
192,0.49612403100775193
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
194,0.5012919896640827
193,0.49870801033591733
192,0.49612403100775193
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
196,0.5064599483204134
197,0.5090439276485789
196,0.5064599483204134
195,0.5038759689922481
195,0.5038759689922481
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
196,0.5064599483204134
197,0.5090439276485789
196,0.5064599483204134
197,0.5090439276485789
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
197,0.5090439276485789
196,0.5064599483204134
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
193,0.49870801033591733
192,0.49612403100775193
193,0.49870801033591733
193,0.49870801033591733
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
197,0.5090439276485789
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
196,0.5064599483204134
197,0.5090439276485789
196,0.5064599483204134
197,0.5090439276485789
198,0.5116279069767442
197,0.5090439276485789
198,0.5116279069767442
197,0.5090439276485789
198,0.5116279069767442
197,0.5090439276485789
196,0.5064599483204134
195,0.5038759689922481
195,0.5038759689922481
196,0.5064599483204134
197,0.5090439276485789
198,0.5116279069767442
197,0.5090439276485789
198,0.5116279069767442
197,0.5090439276485789
198,0.5116279069767442
199,0.5142118863049095
198,0.5116279069767442
197,0.5090439276485789
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
196,0.5064599483204134
195,0.5038759689922481
194,0.5012919896640827
193,0.49870801033591733
194,0.5012919896640827
195,0.5038759689922481
194,0.5012919896640827
195,0.5038759689922481
