rps_absolute,rps_normalized
157,0.3954659949622166
158,0.3979848866498741
159,0.4005037783375315
160,0.40302267002518893
161,0.40554156171284633
160,0.40302267002518893
159,0.4005037783375315
160,0.40302267002518893
161,0.40554156171284633
162,0.4080604534005038
163,0.4105793450881612
162,0.4080604534005038
163,0.4105793450881612
162,0.4080604534005038
161,0.40554156171284633
162,0.4080604534005038
161,0.40554156171284633
160,0.40302267002518893
159,0.4005037783375315
158,0.3979848866498741
159,0.4005037783375315
160,0.40302267002518893
161,0.40554156171284633
162,0.4080604534005038
163,0.4105793450881612
164,0.41309823677581864
163,0.4105793450881612
162,0.4080604534005038
161,0.40554156171284633
162,0.4080604534005038
161,0.40554156171284633
160,0.40302267002518893
159,0.4005037783375315
158,0.3979848866498741
157,0.3954659949622166
156,0.3929471032745592
155,0.3904282115869018
154,0.3879093198992443
153,0.3853904282115869
154,0.3879093198992443
155,0.3904282115869018
156,0.3929471032745592
155,0.3904282115869018
154,0.3879093198992443
153,0.3853904282115869
154,0.3879093198992443
153,0.3853904282115869
154,0.3879093198992443
153,0.3853904282115869
152,0.38287153652392947
151,0.380352644836272
150,0.3778337531486146
149,0.37531486146095716
148,0.37279596977329976
147,0.3702770780856423
148,0.37279596977329976
147,0.3702770780856423
146,0.3677581863979849
145,0.36523929471032746
144,0.36272040302267
145,0.36523929471032746
144,0.36272040302267
143,0.3602015113350126
144,0.36272040302267
143,0.3602015113350126
142,0.35768261964735515
143,0.3602015113350126
142,0.35768261964735515
141,0.35516372795969775
142,0.35768261964735515
141,0.35516372795969775
142,0.35768261964735515
141,0.35516372795969775
142,0.35768261964735515
143,0.3602015113350126
142,0.35768261964735515
141,0.35516372795969775
142,0.35768261964735515
143,0.3602015113350126
144,0.36272040302267
145,0.36523929471032746
144,0.36272040302267
145,0.36523929471032746
146,0.3677581863979849
145,0.36523929471032746
144,0.36272040302267
145,0.36523929471032746
144,0.36272040302267
145,0.36523929471032746
146,0.3677581863979849
145,0.36523929471032746
146,0.3677581863979849
145,0.36523929471032746
144,0.36272040302267
145,0.36523929471032746
144,0.36272040302267
143,0.3602015113350126
142,0.35768261964735515
141,0.35516372795969775
140,0.3526448362720403
139,0.3501259445843829
138,0.34760705289672544
139,0.3501259445843829
139,0.3501259445843829
138,0.34760705289672544
139,0.3501259445843829
140,0.3526448362720403
139,0.3501259445843829
140,0.3526448362720403
139,0.3501259445843829
138,0.34760705289672544
137,0.345088161209068
136,0.3425692695214106
135,0.34005037783375314
134,0.33753148614609574
133,0.3350125944584383
132,0.33249370277078083
131,0.32997481108312343
132,0.33249370277078083
131,0.32997481108312343
132,0.33249370277078083
131,0.32997481108312343
130,0.327455919395466
131,0.32997481108312343
130,0.327455919395466
129,0.3249370277078086
130,0.327455919395466
129,0.3249370277078086
130,0.327455919395466
129,0.3249370277078086
128,0.3224181360201511
127,0.3198992443324937
126,0.31738035264483627
125,0.3148614609571788
124,0.3123425692695214
123,0.30982367758186397
124,0.3123425692695214
125,0.3148614609571788
124,0.3123425692695214
123,0.30982367758186397
122,0.30730478589420657
121,0.3047858942065491
120,0.3022670025188917
119,0.29974811083123426
118,0.2972292191435768
117,0.2947103274559194
116,0.29219143576826195
115,0.28967254408060455
114,0.2871536523929471
115,0.28967254408060455
116,0.29219143576826195
115,0.28967254408060455
116,0.29219143576826195
115,0.28967254408060455
116,0.29219143576826195
115,0.28967254408060455
114,0.2871536523929471
113,0.28463476070528965
114,0.2871536523929471
113,0.28463476070528965
114,0.2871536523929471
115,0.28967254408060455
114,0.2871536523929471
115,0.28967254408060455
114,0.2871536523929471
113,0.28463476070528965
112,0.28211586901763225
111,0.2795969773299748
112,0.28211586901763225
113,0.28463476070528965
114,0.2871536523929471
113,0.28463476070528965
112,0.28211586901763225
111,0.2795969773299748
110,0.2770780856423174
111,0.2795969773299748
112,0.28211586901763225
113,0.28463476070528965
112,0.28211586901763225
111,0.2795969773299748
110,0.2770780856423174
109,0.27455919395465994
110,0.2770780856423174
111,0.2795969773299748
112,0.28211586901763225
113,0.28463476070528965
114,0.2871536523929471
113,0.28463476070528965
112,0.28211586901763225
111,0.2795969773299748
110,0.2770780856423174
109,0.27455919395465994
109,0.27455919395465994
110,0.2770780856423174
109,0.27455919395465994
108,0.27204030226700254
107,0.2695214105793451
108,0.27204030226700254
109,0.27455919395465994
108,0.27204030226700254
107,0.2695214105793451
108,0.27204030226700254
107,0.2695214105793451
106,0.26700251889168763
105,0.26448362720403024
104,0.2619647355163728
105,0.26448362720403024
106,0.26700251889168763
107,0.2695214105793451
106,0.26700251889168763
107,0.2695214105793451
106,0.26700251889168763
106,0.26700251889168763
105,0.26448362720403024
104,0.2619647355163728
105,0.26448362720403024
106,0.26700251889168763
107,0.2695214105793451
108,0.27204030226700254
107,0.2695214105793451
108,0.27204030226700254
107,0.2695214105793451
106,0.26700251889168763
107,0.2695214105793451
106,0.26700251889168763
105,0.26448362720403024
104,0.2619647355163728
103,0.2594458438287154
102,0.25692695214105793
102,0.25692695214105793
103,0.2594458438287154
102,0.25692695214105793
101,0.25440806045340053
102,0.25692695214105793
103,0.2594458438287154
102,0.25692695214105793
101,0.25440806045340053
100,0.2518891687657431
101,0.25440806045340053
102,0.25692695214105793
103,0.2594458438287154
102,0.25692695214105793
102,0.25692695214105793
101,0.25440806045340053
100,0.2518891687657431
101,0.25440806045340053
100,0.2518891687657431
101,0.25440806045340053
102,0.25692695214105793
101,0.25440806045340053
100,0.2518891687657431
99,0.24937027707808565
98,0.24685138539042822
99,0.24937027707808565
