Timestamp,CPU_Usage_Percent
2025-07-27 10:09:41,22.2
2025-07-27 10:09:42,23.3
2025-07-27 10:09:43,25.6
2025-07-27 10:09:44,25.6
2025-07-27 10:09:46,33.8
2025-07-27 10:09:47,18.5
2025-07-27 10:09:48,24.5
2025-07-27 10:09:49,28.2
2025-07-27 10:09:51,23.5
2025-07-27 10:09:52,21.1
2025-07-27 10:09:53,14.0
2025-07-27 10:09:54,23.6
2025-07-27 10:09:55,24.3
2025-07-27 10:09:57,21.4
2025-07-27 10:09:58,15.7
2025-07-27 10:09:59,25.7
2025-07-27 10:10:00,25.6
2025-07-27 10:10:02,30.8
2025-07-27 10:10:03,15.8
2025-07-27 10:10:04,21.7
2025-07-27 10:10:05,27.3
2025-07-27 10:10:07,23.2
2025-07-27 10:10:08,20.7
2025-07-27 10:10:09,23.6
2025-07-27 10:10:10,23.2
2025-07-27 10:10:11,24.7
2025-07-27 10:10:13,30.7
2025-07-27 10:10:14,16.6
2025-07-27 10:10:15,26.0
2025-07-27 10:10:16,33.1
2025-07-27 10:10:18,24.9
2025-07-27 10:10:19,14.0
2025-07-27 10:10:20,28.3
2025-07-27 10:10:21,23.4
2025-07-27 10:10:23,23.2
2025-07-27 10:10:24,26.5
2025-07-27 10:10:25,15.8
2025-07-27 10:10:26,22.6
2025-07-27 10:10:27,21.8
2025-07-27 10:10:29,24.7
2025-07-27 10:10:30,17.8
2025-07-27 10:10:31,27.6
2025-07-27 10:10:32,26.3
2025-07-27 10:10:34,23.8
2025-07-27 10:10:35,14.7
2025-07-27 10:10:36,24.0
2025-07-27 10:10:37,23.2
2025-07-27 10:10:39,21.2
2025-07-27 10:10:40,22.3
2025-07-27 10:10:41,15.6
2025-07-27 10:10:42,21.0
2025-07-27 10:10:44,31.4
2025-07-27 10:10:45,23.4
2025-07-27 10:10:46,17.0
2025-07-27 10:10:47,33.7
2025-07-27 10:10:48,27.2
2025-07-27 10:10:50,23.7
2025-07-27 10:10:51,18.9
2025-07-27 10:10:52,25.3
2025-07-27 10:10:53,21.1
2025-07-27 10:10:55,21.5
2025-07-27 10:10:56,19.8
2025-07-27 10:10:57,15.8
2025-07-27 10:10:58,21.5
2025-07-27 10:11:00,23.7
2025-07-27 10:11:01,25.6
2025-07-27 10:11:02,17.3
2025-07-27 10:11:03,28.5
2025-07-27 10:11:04,26.6
2025-07-27 10:11:06,22.8
2025-07-27 10:11:07,18.7
2025-07-27 10:11:08,25.8
2025-07-27 10:11:09,22.1
2025-07-27 10:11:11,32.0
2025-07-27 10:11:12,18.8
2025-07-27 10:11:13,15.5
2025-07-27 10:11:14,30.4
2025-07-27 10:11:16,25.1
2025-07-27 10:11:17,24.4
2025-07-27 10:11:18,17.8
2025-07-27 10:11:19,25.8
2025-07-27 10:11:20,22.8
2025-07-27 10:11:22,21.9
2025-07-27 10:11:23,15.0
2025-07-27 10:11:24,23.9
2025-07-27 10:11:25,22.3
2025-07-27 10:11:27,23.7
2025-07-27 10:11:28,21.7
2025-07-27 10:11:29,15.9
2025-07-27 10:11:30,27.8
2025-07-27 10:11:32,29.3
2025-07-27 10:11:33,26.2
2025-07-27 10:11:34,19.5
2025-07-27 10:11:35,27.5
2025-07-27 10:11:36,22.5
2025-07-27 10:11:38,28.6
2025-07-27 10:11:39,14.7
2025-07-27 10:11:40,24.9
2025-07-27 10:11:41,32.7
2025-07-27 10:11:43,22.7
2025-07-27 10:11:44,16.7
2025-07-27 10:11:45,24.5
2025-07-27 10:11:46,25.9
2025-07-27 10:11:48,24.6
2025-07-27 10:11:49,25.3
2025-07-27 10:11:50,16.9
2025-07-27 10:11:51,24.5
2025-07-27 10:11:52,22.0
2025-07-27 10:11:54,24.8
2025-07-27 10:11:55,14.6
2025-07-27 10:11:56,23.5
2025-07-27 10:11:57,29.8
2025-07-27 10:11:59,23.1
2025-07-27 10:12:00,16.8
2025-07-27 10:12:01,24.4
2025-07-27 10:12:02,25.2
2025-07-27 10:12:04,25.4
2025-07-27 10:12:05,34.4
2025-07-27 10:12:06,18.8
2025-07-27 10:12:07,24.0
2025-07-27 10:12:09,26.8
2025-07-27 10:12:10,23.4
2025-07-27 10:12:11,14.7
2025-07-27 10:12:12,22.6
2025-07-27 10:12:13,23.5
2025-07-27 10:12:15,22.6
2025-07-27 10:12:16,23.2
