Timestamp,CPU_Usage_Percent
2025-07-27 10:23:16,23.5
2025-07-27 10:23:17,27.0
2025-07-27 10:23:18,23.8
2025-07-27 10:23:19,19.0
2025-07-27 10:23:21,14.3
2025-07-27 10:23:22,24.5
2025-07-27 10:23:23,23.5
2025-07-27 10:23:24,21.3
2025-07-27 10:23:26,15.0
2025-07-27 10:23:27,26.9
2025-07-27 10:23:28,24.3
2025-07-27 10:23:29,28.3
2025-07-27 10:23:30,19.2
2025-07-27 10:23:32,21.1
2025-07-27 10:23:33,30.2
2025-07-27 10:23:34,23.6
2025-07-27 10:23:35,19.3
2025-07-27 10:23:37,24.1
2025-07-27 10:23:38,24.4
2025-07-27 10:23:39,22.0
2025-07-27 10:23:40,29.8
2025-07-27 10:23:42,16.5
2025-07-27 10:23:43,26.9
2025-07-27 10:23:44,32.1
2025-07-27 10:23:45,24.5
2025-07-27 10:23:46,15.5
2025-07-27 10:23:48,28.6
2025-07-27 10:23:49,22.7
2025-07-27 10:23:50,22.9
2025-07-27 10:23:51,20.4
2025-07-27 10:23:53,14.6
2025-07-27 10:23:54,25.9
2025-07-27 10:23:55,21.3
2025-07-27 10:23:56,23.4
2025-07-27 10:23:58,16.0
2025-07-27 10:23:59,27.7
2025-07-27 10:24:00,27.0
2025-07-27 10:24:01,23.4
2025-07-27 10:24:02,14.4
2025-07-27 10:24:04,27.0
2025-07-27 10:24:05,22.7
2025-07-27 10:24:06,22.7
2025-07-27 10:24:07,18.9
2025-07-27 10:24:09,16.4
2025-07-27 10:24:10,22.3
2025-07-27 10:24:11,25.5
2025-07-27 10:24:12,25.1
2025-07-27 10:24:14,17.9
2025-07-27 10:24:15,33.6
2025-07-27 10:24:16,25.4
2025-07-27 10:24:17,21.9
2025-07-27 10:24:19,23.5
2025-07-27 10:24:20,23.4
2025-07-27 10:24:21,23.0
2025-07-27 10:24:22,22.1
2025-07-27 10:24:23,19.2
2025-07-27 10:24:25,14.7
2025-07-27 10:24:26,21.4
2025-07-27 10:24:27,24.6
2025-07-27 10:24:28,25.5
2025-07-27 10:24:30,17.6
2025-07-27 10:24:31,33.2
2025-07-27 10:24:32,24.4
2025-07-27 10:24:33,21.8
2025-07-27 10:24:35,25.8
2025-07-27 10:24:36,24.0
2025-07-27 10:24:37,22.1
2025-07-27 10:24:38,27.0
2025-07-27 10:24:39,19.0
2025-07-27 10:24:41,15.1
2025-07-27 10:24:42,22.9
2025-07-27 10:24:43,24.6
2025-07-27 10:24:44,26.2
2025-07-27 10:24:46,18.1
2025-07-27 10:24:47,25.3
2025-07-27 10:24:48,24.3
2025-07-27 10:24:49,22.4
2025-07-27 10:24:51,17.5
2025-07-27 10:24:52,21.9
2025-07-27 10:24:53,22.3
2025-07-27 10:24:54,27.5
2025-07-27 10:24:55,20.2
2025-07-27 10:24:57,15.1
2025-07-27 10:24:58,31.6
2025-07-27 10:24:59,24.5
2025-07-27 10:25:00,23.9
2025-07-27 10:25:02,27.0
2025-07-27 10:25:03,26.9
2025-07-27 10:25:04,21.7
2025-07-27 10:25:05,28.8
2025-07-27 10:25:07,15.1
2025-07-27 10:25:08,23.7
2025-07-27 10:25:09,25.2
2025-07-27 10:25:10,24.0
2025-07-27 10:25:11,19.2
2025-07-27 10:25:13,19.7
2025-07-27 10:25:14,27.5
2025-07-27 10:25:15,26.4
2025-07-27 10:25:16,25.1
2025-07-27 10:25:18,27.3
2025-07-27 10:25:19,25.4
2025-07-27 10:25:20,21.4
2025-07-27 10:25:21,25.5
2025-07-27 10:25:23,14.8
2025-07-27 10:25:24,27.2
2025-07-27 10:25:25,27.2
2025-07-27 10:25:26,23.5
2025-07-27 10:25:27,27.5
2025-07-27 10:25:29,25.7
2025-07-27 10:25:30,25.4
2025-07-27 10:25:31,24.9
2025-07-27 10:25:32,34.0
2025-07-27 10:25:34,17.0
2025-07-27 10:25:35,24.9
2025-07-27 10:25:36,27.4
2025-07-27 10:25:37,24.0
2025-07-27 10:25:39,14.7
2025-07-27 10:25:40,22.1
2025-07-27 10:25:41,25.1
2025-07-27 10:25:42,29.5
2025-07-27 10:25:43,20.7
2025-07-27 10:25:45,16.2
2025-07-27 10:25:46,34.0
2025-07-27 10:25:47,25.1
2025-07-27 10:25:48,25.5
2025-07-27 10:25:50,15.8
2025-07-27 10:25:51,27.4
2025-07-27 10:25:52,27.3
2025-07-27 10:25:53,24.0
2025-07-27 10:25:55,14.6
2025-07-27 10:25:56,29.5
2025-07-27 10:25:57,22.8
2025-07-27 10:25:58,21.9
2025-07-27 10:26:00,27.9
2025-07-27 10:26:01,16.1
2025-07-27 10:26:02,25.3
2025-07-27 10:26:03,30.9
2025-07-27 10:26:04,26.3
2025-07-27 10:26:06,18.8
2025-07-27 10:26:07,22.8
2025-07-27 10:26:08,23.5
2025-07-27 10:26:09,24.4
2025-07-27 10:26:11,16.6
2025-07-27 10:26:12,26.2
2025-07-27 10:26:13,23.9
2025-07-27 10:26:14,21.8
2025-07-27 10:26:16,22.3
2025-07-27 10:26:17,19.2
2025-07-27 10:26:18,24.8
2025-07-27 10:26:19,34.9
2025-07-27 10:26:20,25.8
2025-07-27 10:26:22,14.7
2025-07-27 10:26:23,28.9
2025-07-27 10:26:24,23.2
2025-07-27 10:26:25,24.0
2025-07-27 10:26:27,14.8
2025-07-27 10:26:28,21.7
2025-07-27 10:26:29,23.7
2025-07-27 10:26:30,21.4
2025-07-27 10:26:32,19.8
2025-07-27 10:26:33,18.1
2025-07-27 10:26:34,26.4
2025-07-27 10:26:35,29.2
2025-07-27 10:26:36,23.9
2025-07-27 10:26:38,14.8
