timestamp,FullStateDQN_qr,FullStateDQN_cv,action_qr,action_cv,reward
2025-06-04T13:03:33.682049,"FullStateDQN(data_quality=900, data_quality_target=900, throughput=17, throughput_target=100, model_size=1, model_size_target=1, cores=3, free_cores=4, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=96, data_quality_target=288, throughput=0, throughput_target=5, model_size=5, model_size_target=4, cores=1, free_cores=4, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",DEC_DATA_QUALITY,DILLY_DALLY,0.8179160000000001
2025-06-04T13:03:53.906009,"FullStateDQN(data_quality=900, data_quality_target=900, throughput=21, throughput_target=100, model_size=1, model_size_target=1, cores=2, free_cores=5, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=64, data_quality_target=288, throughput=6, throughput_target=5, model_size=5, model_size_target=4, cores=1, free_cores=5, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",DEC_CORES,DEC_DATA_QUALITY,2.1677529523809524
2025-06-04T13:04:13.871779,"FullStateDQN(data_quality=1000, data_quality_target=900, throughput=26, throughput_target=100, model_size=1, model_size_target=1, cores=2, free_cores=4, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=64, data_quality_target=288, throughput=7, throughput_target=5, model_size=5, model_size_target=4, cores=2, free_cores=4, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",INC_DATA_QUALITY,INC_CORES,2.203666285714286
2025-06-04T13:04:34.500651,"FullStateDQN(data_quality=1000, data_quality_target=900, throughput=1, throughput_target=100, model_size=1, model_size_target=1, cores=1, free_cores=5, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=64, data_quality_target=288, throughput=1, throughput_target=5, model_size=4, model_size_target=4, cores=2, free_cores=5, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",DEC_CORES,DEC_PRED_QUALITY,1.3187967619047618
2025-06-04T13:04:54.498648,"FullStateDQN(data_quality=1000, data_quality_target=900, throughput=0, throughput_target=100, model_size=1, model_size_target=1, cores=1, free_cores=5, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=64, data_quality_target=288, throughput=0, throughput_target=5, model_size=5, model_size_target=4, cores=2, free_cores=5, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",DILLY_DALLY,INC_PRED_QUALITY,0.1
2025-06-04T13:05:14.731519,"FullStateDQN(data_quality=900, data_quality_target=900, throughput=0, throughput_target=100, model_size=1, model_size_target=1, cores=1, free_cores=6, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=64, data_quality_target=288, throughput=6, throughput_target=5, model_size=5, model_size_target=4, cores=1, free_cores=6, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",DEC_DATA_QUALITY,DEC_CORES,1.425234285714286
2025-06-04T13:05:35.166996,"FullStateDQN(data_quality=900, data_quality_target=900, throughput=23, throughput_target=100, model_size=1, model_size_target=1, cores=2, free_cores=5, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=64, data_quality_target=288, throughput=0, throughput_target=5, model_size=5, model_size_target=4, cores=1, free_cores=5, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",INC_CORES,INC_PRED_QUALITY,0.756244
2025-06-04T13:05:55.359876,"FullStateDQN(data_quality=900, data_quality_target=900, throughput=18, throughput_target=100, model_size=1, model_size_target=1, cores=2, free_cores=5, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=96, data_quality_target=288, throughput=2, throughput_target=5, model_size=5, model_size_target=4, cores=1, free_cores=5, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",DILLY_DALLY,INC_DATA_QUALITY,1.7894049523809523
2025-06-04T13:06:15.801358,"FullStateDQN(data_quality=900, data_quality_target=900, throughput=9, throughput_target=100, model_size=1, model_size_target=1, cores=1, free_cores=6, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=96, data_quality_target=288, throughput=7, throughput_target=5, model_size=5, model_size_target=4, cores=1, free_cores=6, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",DEC_CORES,INC_PRED_QUALITY,2.1104660952380954
2025-06-04T13:06:36.057606,"FullStateDQN(data_quality=900, data_quality_target=900, throughput=28, throughput_target=100, model_size=1, model_size_target=1, cores=2, free_cores=5, bounds={'data_quality': {'min': 100, 'max': 1000}, 'cores': {'min': 1, 'max': 8}})","FullStateDQN(data_quality=96, data_quality_target=288, throughput=4, throughput_target=5, model_size=5, model_size_target=4, cores=1, free_cores=5, bounds={'model_size': {'min': 1, 'max': 5}, 'data_quality': {'min': 64, 'max': 320}, 'cores': {'min': 1, 'max': 8}})",INC_CORES,DEC_CORES,2.1484830476190475
