timestamp,fps,pixel,cores,energy,change_flag
2025-04-07 09:19:23.892715,8,800,2,0,False
2025-04-07 09:19:24.026668,16,800,2,0,False
2025-04-07 09:19:24.168548,24,800,2,0,False
2025-04-07 09:19:24.300408,32,800,2,0,False
2025-04-07 09:19:24.438932,40,800,2,0,False
2025-04-07 09:19:24.568645,48,800,2,0,False
2025-04-07 09:19:24.728647,56,800,2,0,False
2025-04-07 09:19:24.884996,58,800,2,0,False
2025-04-07 09:19:25.029021,56,800,2,0,False
2025-04-07 09:19:25.198150,56,800,2,0,False
2025-04-07 09:19:25.366527,56,800,2,0,False
2025-04-07 09:19:25.520128,56,800,2,0,False
2025-04-07 09:19:25.705296,52,800,2,0,False
2025-04-07 09:19:25.843819,55,800,2,0,False
2025-04-07 09:19:26.010072,52,800,2,0,False
2025-04-07 09:19:26.213625,48,800,2,0,False
2025-04-07 09:19:26.353979,51,800,2,0,False
2025-04-07 09:19:26.478922,55,800,2,0,False
2025-04-07 09:19:26.625088,55,800,2,0,False
2025-04-07 09:19:26.775017,56,800,2,0,False
2025-04-07 09:19:26.941870,56,800,2,0,False
2025-04-07 09:19:27.102427,56,800,2,0,False
2025-04-07 09:19:27.283861,56,800,2,0,False
2025-04-07 09:19:27.453780,55,800,2,0,False
2025-04-07 09:19:27.599042,51,800,2,0,False
2025-04-07 09:19:27.731412,54,800,2,0,False
2025-04-07 09:19:27.882210,56,800,2,0,False
2025-04-07 09:19:28.027709,55,800,2,0,False
2025-04-07 09:19:28.194690,56,800,2,0,False
2025-04-07 09:19:28.332114,56,800,2,0,False
2025-04-07 09:19:28.462339,56,800,2,0,False
2025-04-07 09:19:28.608872,56,800,2,0,False
2025-04-07 09:19:28.772688,56,800,2,0,False
2025-04-07 09:19:28.902161,56,800,2,0,False
2025-04-07 09:19:29.042892,56,800,2,0,False
2025-04-07 09:19:29.184015,59,800,2,0,False
2025-04-07 09:19:29.357896,56,800,2,0,False
2025-04-07 09:19:29.535677,56,800,2,0,False
2025-04-07 09:19:29.681700,56,800,2,0,False
2025-04-07 09:19:29.845945,56,800,2,0,False
