timestamp,fps,pixel,cores,energy,change_flag
2024-11-30 07:44:36.067007,31,800,3,0,False
2024-11-30 07:44:36.350747,32,800,3,0,False
2024-11-30 07:44:36.611598,32,800,3,0,False
2024-11-30 07:44:36.939502,32,800,3,0,False
2024-11-30 07:44:37.206009,32,800,3,0,False
2024-11-30 07:44:37.543757,30,800,3,0,False
2024-11-30 07:44:37.796631,32,800,3,0,False
2024-11-30 07:44:38.086778,32,800,3,0,False
2024-11-30 07:44:38.429260,32,800,3,0,False
2024-11-30 07:44:38.704648,32,800,3,0,False
2024-11-30 07:44:38.969527,32,800,3,0,False
2024-11-30 07:44:39.243751,32,800,3,0,False
2024-11-30 07:44:39.539914,32,800,3,0,False
2024-11-30 07:44:39.868549,29,800,3,0,False
2024-11-30 07:44:40.161145,32,800,3,0,False
2024-11-30 07:44:40.491481,29,800,3,0,False
2024-11-30 07:44:40.764000,32,800,3,0,False
2024-11-30 07:44:41.064832,30,800,3,0,False
2024-11-30 07:44:41.319604,32,800,3,0,False
2024-11-30 07:44:41.598285,32,800,3,0,False
2024-11-30 07:44:41.883226,32,800,3,0,False
2024-11-30 07:44:42.192939,32,800,3,0,False
2024-11-30 07:44:42.477287,32,800,3,0,False
2024-11-30 07:44:42.793066,31,800,3,0,False
2024-11-30 07:44:43.094944,32,800,3,0,False
2024-11-30 07:44:43.445525,31,800,3,0,False
2024-11-30 07:44:43.729372,31,800,3,0,False
2024-11-30 07:44:44.086312,25,800,3,0,False
2024-11-30 07:44:44.361919,32,800,3,0,False
2024-11-30 07:44:44.708798,26,800,3,0,False
2024-11-30 07:44:45.036971,29,800,3,0,False
2024-11-30 07:44:45.356445,28,800,3,0,False
2024-11-30 07:44:45.659673,27,800,3,0,False
2024-11-30 07:44:45.986042,30,800,3,0,False
2024-11-30 07:44:46.295859,27,800,3,0,False
2024-11-30 07:44:46.632892,29,800,3,0,False
2024-11-30 07:44:46.985979,26,800,3,0,False
2024-11-30 07:44:47.314795,24,800,3,0,False
2024-11-30 07:44:47.515292,31,800,3,0,False
2024-11-30 07:44:47.698843,32,800,3,0,False
2024-11-30 07:44:48.058023,32,800,3,0,False
2024-11-30 07:44:48.398559,32,800,3,0,False
2024-11-30 07:44:48.687550,26,800,3,0,False
2024-11-30 07:44:49.003170,29,800,3,0,False
2024-11-30 07:44:49.298593,32,800,3,0,False
2024-11-30 07:44:49.592558,30,800,3,0,False
2024-11-30 07:44:49.898130,29,800,3,0,False
2024-11-30 07:44:50.170761,30,800,3,0,False
2024-11-30 07:44:50.453237,31,800,3,0,False
2024-11-30 07:44:50.757290,32,800,3,0,False
2024-11-30 07:44:51.031747,32,800,3,0,False
2024-11-30 07:44:51.353822,30,800,3,0,False
2024-11-30 07:44:51.685474,27,800,3,0,False
2024-11-30 07:44:51.886153,32,800,3,0,False
2024-11-30 07:44:52.251368,32,800,3,0,False
2024-11-30 07:44:52.591858,31,800,3,0,False
2024-11-30 07:44:52.893870,24,800,3,0,False
2024-11-30 07:44:53.185839,28,800,3,0,False
2024-11-30 07:44:53.486445,31,800,3,0,False
2024-11-30 07:44:53.750597,32,800,3,0,False
2024-11-30 07:44:54.018061,32,800,3,0,False
2024-11-30 07:44:54.352386,32,800,3,0,False
2024-11-30 07:44:54.597641,32,800,3,0,False
2024-11-30 07:44:54.893319,32,800,3,0,False
2024-11-30 07:44:55.174472,31,800,3,0,False
2024-11-30 07:44:55.531068,32,800,3,0,False
2024-11-30 07:44:55.829333,32,800,3,0,False
2024-11-30 07:44:56.159479,30,800,3,0,False
2024-11-30 07:44:56.414611,32,800,3,0,False
2024-11-30 07:44:56.682074,32,800,3,0,False
2024-11-30 07:44:56.960395,32,800,3,0,False
2024-11-30 07:44:57.233416,32,800,3,0,False
2024-11-30 07:44:57.479316,32,800,3,0,False
2024-11-30 07:44:57.781368,32,800,3,0,False
2024-11-30 07:44:58.008281,32,800,3,0,False
2024-11-30 07:44:58.362399,30,800,3,0,False
2024-11-30 07:44:58.605052,32,800,3,0,False
2024-11-30 07:44:58.816745,32,800,3,0,False
2024-11-30 07:44:59.109550,32,800,3,0,False
2024-11-30 07:44:59.398466,32,800,3,0,False
2024-11-30 07:44:59.731522,32,800,3,0,False
2024-11-30 07:45:00.019454,32,800,3,0,False
2024-11-30 07:45:00.314722,31,800,3,0,False
2024-11-30 07:45:00.588790,32,800,3,0,False
2024-11-30 07:45:00.878640,32,800,3,0,False
2024-11-30 07:45:01.176305,32,800,3,0,False
2024-11-30 07:45:01.465189,32,800,3,0,False
2024-11-30 07:45:01.717477,32,800,3,0,False
2024-11-30 07:45:02.016718,32,800,3,0,False
2024-11-30 07:45:02.329857,32,800,3,0,False
2024-11-30 07:45:02.608432,32,800,3,0,False
2024-11-30 07:45:02.905046,32,800,3,0,False
2024-11-30 07:45:03.307767,26,800,3,0,False
2024-11-30 07:45:03.582058,26,800,3,0,False
2024-11-30 07:45:03.829570,32,800,3,0,False
2024-11-30 07:45:04.111738,32,800,3,0,False
2024-11-30 07:45:04.397984,32,800,3,0,False
2024-11-30 07:45:04.692799,32,800,3,0,False
